Smiles,Standard Type,Standard Value,Standard Units
CC(=O)c1ccc(NC(=O)N2CCc3ccccc3C2)cc1,Potency,11220.2,nM
CSc1cccc(NC(=O)c2sc3nc4n(c(=O)c3c2C)CCC4)c1,Potency,8912.5,nM
CCOC(=O)c1cnn(-c2ccc(C)cc2)c1N,Potency,11220.2,nM
O=C(NCCc1ccccc1)c1cccc(NC(=O)C2CC2)c1,Potency,6309.6,nM
O=C(CSc1nnc(-c2cccnc2)o1)Nc1cccc(F)c1,Potency,10000.0,nM
COc1ccc(C(=O)O/N=C(\N)c2ccc(Cl)cc2)cc1,Potency,2511.9,nM
Cn1c(-c2cccs2)nc2ccccc21,Potency,7943.3,nM
COCCn1c(C)cc(/C=C2/NC(=O)N(c3cccc(Cl)c3)C2=O)c1C,Potency,7943.3,nM
Cc1ccccc1CSCc1nc(N)nc(Nc2ccccc2C)n1,Potency,11220.2,nM
O=C(Cc1cccs1)Nc1ccc(-c2nc3ccccc3[nH]2)cc1,Potency,5623.4,nM
CCC(=O)N1CCC(c2ccc(OC)cc2)=N1,Potency,11220.2,nM
Nc1c(C(=O)Nc2ccc3c(c2)OCCO3)nnn1Cc1ccccc1,Potency,4466.8,nM
CCOc1ccc(C(=O)Nc2cccc(-c3ccc(N4CCOCC4)nn3)c2)cc1OCC,Potency,11220.2,nM
Cc1ccc(NC(=O)CSCc2ccco2)cc1,Potency,10000.0,nM
CCNC(=S)N/N=C/c1cccc(C)c1,Potency,10000.0,nM
O=C(c1cnn(-c2ccccc2)c1)c1cc(F)ccc1O,Potency,10000.0,nM
CCOc1ccc(NC(=O)Nc2cc(C)ccc2F)cc1,Potency,2511.9,nM
Nc1ccc2c(c1)C(=O)N(c1ccc3ccccc3c1)C2=O,Potency,11220.2,nM
O=C(NCC1CCOCC1)c1ccc2nc(Cc3cccc(Cl)c3)oc2c1,Potency,10000.0,nM
CC(=O)c1cccc(NC(=O)c2ccc3c(c2)CCCC3)c1,Potency,3548.1,nM
O=C(CSc1nnc(NC(=O)c2ccccc2F)s1)NCc1ccc(F)cc1,Potency,5011.9,nM
Nc1[nH]ncc1N=Nc1ccc(Cl)cc1,Potency,11220.2,nM
CC1CCc2c(nc3sc4c(c3c2N)CCCC4)C1,Potency,2818.4,nM
COc1ccc(C(=N)NOC(=O)c2cccs2)cc1OC,Potency,8912.5,nM
O=C(N/N=C/C(Cl)=C/c1ccccc1)c1ccccc1F,Potency,10000.0,nM
COc1ccccc1C(=O)Nn1cnc2ccccc2c1=O,Potency,10000.0,nM
O=c1c2ccccc2nc2ccc(NCc3ccco3)nn12,Potency,3548.1,nM
CC(=O)NCCC1CCCCN1C(=O)c1cc(COc2cc(C)ccc2C)on1,Potency,7079.5,nM
COc1cc2cccc(OC)c(=O)c2c(O)c1OC,Potency,10000.0,nM
Cc1ccsc1C(=O)OCC(=O)N1CCc2ccccc2C1,Potency,7943.3,nM
COC(=O)c1sc(-c2ccc(Cl)cc2)cc1N,Potency,3981.1,nM
Cc1nc(-c2ccccc2)sc1C(=O)/C=C/N(C)C,Potency,11220.2,nM
CN(C)c1ccc(/C=C(/C#N)C(=O)NCc2ccccc2)o1,Potency,10000.0,nM
Cc1ccc(CC(=O)N/N=C/c2ccc3c(c2)OCO3)cc1,Potency,8912.5,nM
CCOC(=O)c1ccc(NC(O)=C2C(=O)NC(=O)NC2=O)cc1,Potency,12589.3,nM
Cc1cc(-c2ccc(/N=N\c3ccc4c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c4c3O)c(C)c2)ccc1/N=N\c1ccc2c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c2c1O,Potency,31622.8,nM
O=c1oc2c(CN3CCCCCC3)c(O)ccc2cc1-c1nc2ccccc2[nH]1,Potency,31622.8,nM
Cc1csc(SCC(=O)Nc2sccc2C(N)=O)n1,Potency,6309.6,nM
N#Cc1ccc(C2NC(c3ccccc3)=NO2)cc1,Potency,2511.9,nM
C1=C(c2cc3ccccc3cn2)CCCC1,Potency,10000.0,nM
O=C(/C=C/Nc1ccccc1)c1ccc(Oc2ncccn2)cc1,Potency,3548.1,nM
Cc1nc(SCC(=O)Nc2ccc3c(c2)OCO3)c(C#N)c2c1CCCC2,Potency,7079.5,nM
Cc1ccc(-c2noc(CN3CCCCC3)n2)cc1,Potency,2511.9,nM
O=C1c2ccccc2NC(c2ccccc2O)N1c1ccc(F)cc1,Potency,3981.1,nM
CCCOc1ccc(-c2csc(N)n2)cc1[N+](=O)[O-],Potency,7943.3,nM
O=C(N/N=C/c1ccccn1)NC12CC3CC(CC(C3)C1)C2,Potency,3981.1,nM
O=C(Nc1ccccc1O)c1ccc(NC(=O)C2CC2)cc1,Potency,1778.3,nM
O=C(CSc1ccccc1C(=O)O)c1ccc(Cl)cc1,Potency,10000.0,nM
CN(C(=O)c1ccco1)c1nc(-c2ccc(F)cc2)cs1,Potency,4466.8,nM
COC(=O)N/N=C(C)/C=C/c1ccccc1,Potency,3548.1,nM
COc1cccc(-c2c[nH]c(C(O)c3ccccc3)n2)c1,Potency,11220.2,nM
CCCn1ncc2c(Nc3ccc(C)c(C)c3)ncnc21,Potency,8912.5,nM
Clc1ccc(-c2cc(COc3ccccc3)on2)cc1,Potency,10000.0,nM
COc1ccc(CNC(=S)N/N=C(/C)c2ccccc2)cc1,Potency,7079.5,nM
Oc1ccc(/C=N/Nc2ccc(C(F)(F)F)cn2)cc1,Potency,6309.6,nM
C/C(=N/NC(=O)c1cccc(N2CCCC2=O)c1)c1ccncc1,Potency,8912.5,nM
COc1ccc(-c2cn(Cc3ccc(C)cc3)nn2)cc1,Potency,8912.5,nM
CC(=O)c1ccc(NC(=O)C2(c3ccccc3)CC2(Cl)Cl)cc1,Potency,10000.0,nM
Cn1c(SCc2ccccc2F)nc2cccnc21,Potency,6309.6,nM
COc1ccc2nc3ccccc3nc2c1,Potency,12589.3,nM
O=C(NCCc1ccc(Cl)cc1)c1ccc(Br)s1,Potency,3548.1,nM
CC(C)(C)c1ccc(/C=C/C(=O)N2CCCCC2)cc1,Potency,7079.5,nM
CCOC(=O)c1cc2c(nc1N=C(S)NCc1ccccc1)CCCC2,Potency,4466.8,nM
O=C(N[C@@H](Cc1ccccc1)C(=O)NC1CCCCCC1)c1ccco1,Potency,11220.2,nM
O=C1c2ccccc2S(=O)(=O)N1CC1CC(c2ccc(Cl)cc2)=NO1,Potency,3162.3,nM
CSc1cccc(NC(=O)Nc2ccc(Cl)cc2)c1,Potency,7943.3,nM
O=C(Cn1ncc(N2CCCC2)c(Br)c1=O)c1ccc(Cl)cc1,Potency,1412.5,nM
O=C(c1ccc2c3n(nc2c1)-c1ccc(Cl)cc1CO3)N1CCOCC1,Potency,6309.6,nM
C/C(=N/NC(=O)c1cccs1)c1cccs1,Potency,3548.1,nM
Cc1cccc2[nH]c(-c3ccc(NC(=O)c4ccco4)cc3)nc12,Potency,1778.3,nM
CN(C)C(S)=Nc1nc2ccccc2s1,Potency,3548.1,nM
COC(=O)[C@@H]1CCCN1C(=O)CCc1nnc(CCC2CCCCC2)o1,Potency,11220.2,nM
COc1ccccc1/C=C/C=N/NC(=O)c1ccccn1,Potency,5011.9,nM
CCc1cc2c(=O)n(-c3ccccc3)cnc2s1,Potency,17782.8,nM
Cc1ccc(NC(=O)CN2CCCCCC2)c(Br)c1,Potency,11220.2,nM
Clc1ccc(-c2nc(CSc3ccccn3)cs2)cc1,Potency,10000.0,nM
CC(=O)Nc1ccc2c(c1Br)Cc1ccccc1-2,Potency,3162.3,nM
Fc1ccc(Cc2cn3cc(-c4ccc(Cl)cc4)nc3s2)cc1,Potency,891.3,nM
Sc1ncnc2sc(-c3ccccc3)cc12,Potency,11220.2,nM
C/C(N)=C(/C#N)C(=O)CSc1nc2ccccc2[nH]1,Potency,7943.3,nM
CCOC(=O)c1sc(NC(=O)C(C)(C)C)cc1C,Potency,3162.3,nM
Cc1ccc(-c2ccc(CCC(=O)O)n2-c2cccc(C(=O)O)c2)cc1,Potency,7079.5,nM
O=C(NCCSc1ccccc1)c1ccccc1Cl,Potency,2818.4,nM
CN(C)c1ccc(C=NN2CCCCCC2)cc1,Potency,7943.3,nM
Cc1ccc2oc(Nc3nc(O)cc(-c4ccccc4)n3)nc2c1,Potency,3548.1,nM
Cc1ccc(Cc2cn3cc(-c4ccc(F)cc4)nc3s2)cc1,Potency,2238.7,nM
COc1cc(C(=O)Nc2ccc3c(c2)OCCO3)ccc1OC(F)F,Potency,11220.2,nM
O=C(N/N=C1\CCc2ccccc21)c1ccccc1Cl,Potency,1995.3,nM
Fc1cccc(/C=N/Nc2nc3ccccc3[nH]2)c1,Potency,4466.8,nM
O=C(COc1ccc2c(c1)CCC2)N1CCc2ccccc21,Potency,10000.0,nM
Cc1cccc(-n2ncc3c(NCc4cccnc4)ncnc32)c1,Potency,2511.9,nM
NC(=NOC(=O)c1cccc(F)c1)c1cccc([N+](=O)[O-])c1,Potency,12589.3,nM
Cc1ccc(CSc2ncn(-c3ccccc3)n2)cc1,Potency,11220.2,nM
O=c1c(-c2ccc(F)cc2)coc2cc(O)ccc12,Potency,11220.2,nM
Cc1cc(CNC(=O)c2cc(COc3ccc(F)c(F)c3)on2)nn1C,Potency,8912.5,nM
CN(C)/C=C1\N=C(c2ccc3c(c2)OCO3)OC1=O,Potency,7943.3,nM
COCCN(C(=O)c1ccco1)c1nnc(-c2ccc(OC)cc2)s1,Potency,7079.5,nM
Br.Nc1nc(-c2ccc(Br)cc2)cs1,Potency,15848.9,nM
CC(C)c1ccc2[nH]c3nc(SCC(=O)N4CCOCC4)nnc3c2c1,Potency,11220.2,nM
Cn1c(NCc2ccc(Cl)cc2)nc2ccccc21,Potency,4466.8,nM
O=[N+]([O-])c1ncccc1OCc1ccc(Cl)c(Cl)c1,Potency,7079.5,nM
O=C(CCOc1ccccc1)Nc1ccc(Br)cc1,Potency,7943.3,nM
CCOC(=O)c1sc(N)c(C(=O)Nc2ccccc2)c1C,Potency,12589.3,nM
CC1CCN(C(S)=NCCc2ccccc2)CC1,Potency,7079.5,nM
CN1CCCC1CCNc1ccc2c(=O)c3ccccc3oc2c1,Potency,12589.3,nM
Cc1ccc(-c2ccc(=O)n(CCC(=O)N3CCC4(CC3)OCCO4)n2)cc1,Potency,11220.2,nM
CCC(CO)Nc1ccn2nc(-c3cccs3)cc2n1,Potency,5623.4,nM
COc1ccc(CC(=O)OCC(=O)Nc2ccc(C(=O)Nc3ccc(OC)cc3)cc2)cc1,Potency,11220.2,nM
O=C(NN=Cc1ccc2c(c1)OCO2)C1CC1,Potency,7079.5,nM
Cc1ccc2c(c1)sc1nc(=O)n(-c3cccc(Cl)c3)c(=O)n12,Potency,1412.5,nM
CC(C)(C)C(=O)Nc1nnc(CCc2ccccc2)s1,Potency,4466.8,nM
Cc1cccc(-c2cc3nc(C)cc(C)n3n2)c1,Potency,1584.9,nM
COc1ccc(-c2coc3cc(OC(C)=O)c(OC)cc3c2=O)cc1,Potency,10000.0,nM
Cc1cccc(C=NOCCc2ccccc2)n1,Potency,10000.0,nM
Cc1cc(-c2ccccc2)nc(N2CCC(C(=O)NC(C)C)CC2)n1,Potency,1995.3,nM
c1ccc(Oc2cc(-c3ccccc3)ncn2)cc1,Potency,11220.2,nM
O=C(Nc1ccc2c(c1)OCO2)c1ccc(O)nn1,Potency,11220.2,nM
Cc1ccc(-c2nn(-c3ccccc3)cc2CO)o1,Potency,3548.1,nM
CS(=O)(=O)N1CCc2cc(C(=O)OCC(=O)c3ccccc3)ccc21,Potency,10000.0,nM
Cc1cc(C)nc(NC(=O)Nc2ccc(F)cc2F)n1,Potency,3981.1,nM
Cc1cc(C)nc(NC(=O)/C=C/c2ccccc2Cl)c1,Potency,3162.3,nM
O=C(Nc1cccc(-c2ccc(N3CCOCC3)nn2)c1)c1cccc(Cl)c1,Potency,7079.5,nM
COCCC1CCCCN1C(=O)c1ccc2nc(Cc3ccccc3F)oc2c1,Potency,7943.3,nM
Fc1ccccc1CSc1nnc(-c2cccs2)o1,Potency,3981.1,nM
CSc1ccccc1C(=O)Nc1ccc2c(c1)CCC2,Potency,11220.2,nM
